Date,Adj Close,Volume,DJI Adj Close,DJI Volume,NDAQ Adj Close,NDAQ Volume,SPX Adj Close,SPX Volume,RUT Adj Close,RUT Volume
2020-01-02,73.24903106689453,135480400,28868.80078125,251820000,34.04328536987305,1923900,3257.85009765625,3459930000,1666.77001953125,3459930000
2020-01-03,72.53689575195312,146322800,28634.880859375,239590000,34.188533782958984,2164800,3234.85009765625,3484700000,1660.8699951171875,3484700000
2020-01-06,73.11487579345703,118387200,28703.380859375,252760000,34.16643142700195,2155200,3246.280029296875,3702460000,1663.260009765625,3702460000
2020-01-07,72.77102661132812,108872000,28583.6796875,258900000,33.60125732421875,1673100,3237.179931640625,3435910000,1658.31005859375,3435910000
2020-01-08,73.9416275024414,132079200,28745.08984375,291750000,33.41496276855469,3501000,3253.050048828125,3726840000,1663.5899658203125,3726840000
2020-01-09,75.51222229003906,170108400,28956.900390625,275060000,33.8948974609375,1590000,3274.699951171875,3641230000,1664.989990234375,3641230000
2020-01-10,75.68291473388672,140644800,28823.76953125,237830000,33.733863830566406,1281900,3265.35009765625,3214580000,1657.6400146484375,3214580000
2020-01-13,77.29985809326172,121532000,28907.05078125,249830000,33.812801361083984,1184400,3288.1298828125,3459390000,1669.6099853515625,3459390000
2020-01-14,76.25603485107422,161954400,28939.669921875,287440000,33.64230728149414,2115600,3283.14990234375,3687620000,1675.739990234375,3687620000
2020-01-15,75.92926025390625,121923600,29030.220703125,260270000,34.05592727661133,1869600,3289.2900390625,3721490000,1682.4000244140625,3721490000
2020-01-16,76.88037109375,108829200,29297.640625,252110000,34.19801330566406,3255900,3316.81005859375,3540580000,1705.219970703125,3540580000
2020-01-17,77.73152923583984,137816400,29348.099609375,321820000,34.51374816894531,2372400,3329.6201171875,3726220000,1699.6400146484375,3726220000
2020-01-21,77.2047348022461,110843200,29196.0390625,320640000,34.494808197021484,2201400,3320.7900390625,4104840000,1685.9000244140625,4104840000
